PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2018-12-31T02:00:00Z,2018-12-31T01:00:00Z,PT60M,8.2,-46,79.0,8.0,0,0,0,0,0,0,15.5,98.3,0.0,1023.9,283,3.4,145,0.15
2018-12-31T03:00:00Z,2018-12-31T02:00:00Z,PT60M,8.0,-65,82.0,7.7,0,0,0,0,0,0,15.0,98.1,0.0,1024.0,284,3.6,138,0.15
2018-12-31T04:00:00Z,2018-12-31T03:00:00Z,PT60M,7.9,-79,81.4,7.6,0,0,0,0,0,0,14.5,98.0,0.0,1024.0,286,3.6,129,0.15
2018-12-31T05:00:00Z,2018-12-31T04:00:00Z,PT60M,7.8,-91,79.0,7.5,0,0,0,0,0,0,14.0,98.0,0.0,1024.0,288,3.5,119,0.15
2018-12-31T06:00:00Z,2018-12-31T05:00:00Z,PT60M,7.8,-103,79.0,7.5,0,0,0,0,0,0,13.6,98.1,0.0,1024.0,291,3.4,110,0.15
2018-12-31T07:00:00Z,2018-12-31T06:00:00Z,PT60M,7.7,-113,79.0,7.5,0,0,0,0,0,0,13.1,98.2,0.0,1024.2,293,3.2,101,0.15
2018-12-31T08:00:00Z,2018-12-31T07:00:00Z,PT60M,7.6,-125,70.8,7.4,0,0,0,0,0,0,12.6,98.3,0.0,1024.6,293,2.9,93,0.15
2018-12-31T09:00:00Z,2018-12-31T08:00:00Z,PT60M,7.5,-136,74.6,7.3,10,0,0,10,9,10,12.1,98.4,0.0,1025.0,293,2.7,86,0.15
2018-12-31T10:00:00Z,2018-12-31T09:00:00Z,PT60M,7.8,-149,73.3,7.4,41,0,0,41,37,41,11.6,97.6,0.0,1025.1,296,2.6,80,0.15
2018-12-31T11:00:00Z,2018-12-31T10:00:00Z,PT60M,8.4,-163,72.0,7.7,61,0,0,61,54,61,11.2,96.0,0.0,1025.0,300,2.9,76,0.15
2018-12-31T12:00:00Z,2018-12-31T11:00:00Z,PT60M,8.9,-177,79.8,8.1,49,0,0,49,44,49,10.9,94.3,0.0,1024.8,304,3.2,74,0.15
2018-12-31T13:00:00Z,2018-12-31T12:00:00Z,PT60M,8.9,169,84.0,7.9,37,0,0,37,33,37,10.5,93.8,0.0,1024.7,302,3.0,75,0.15
2018-12-31T14:00:00Z,2018-12-31T13:00:00Z,PT60M,8.2,155,76.0,7.4,43,0,0,43,39,43,10.1,94.4,0.0,1024.5,294,2.4,78,0.15
2018-12-31T15:00:00Z,2018-12-31T14:00:00Z,PT60M,7.6,142,81.5,6.9,15,0,0,15,14,15,9.7,95.0,0.0,1024.4,282,1.9,83,0.15
2018-12-31T16:00:00Z,2018-12-31T15:00:00Z,PT60M,7.0,130,63.1,6.4,6,0,0,6,5,6,9.5,95.6,0.0,1024.3,269,1.9,89,0.15
2018-12-31T17:00:00Z,2018-12-31T16:00:00Z,PT60M,6.6,119,64.5,6.0,0,0,0,0,0,0,9.3,96.3,0.0,1024.3,262,2.2,97,0.15
2018-12-31T18:00:00Z,2018-12-31T17:00:00Z,PT60M,6.1,108,61.9,5.6,0,0,0,0,0,0,9.1,96.9,0.0,1024.3,257,2.6,106,0.15
2018-12-31T19:00:00Z,2018-12-31T18:00:00Z,PT60M,5.8,97,64.6,5.4,0,0,0,0,0,0,9.0,97.2,0.0,1024.3,256,2.9,115,0.15
2018-12-31T20:00:00Z,2018-12-31T19:00:00Z,PT60M,5.7,85,64.7,5.3,0,0,0,0,0,0,9.1,97.2,0.0,1024.3,257,3.1,124,0.15
2018-12-31T21:00:00Z,2018-12-31T20:00:00Z,PT60M,5.6,72,64.7,5.2,0,0,0,0,0,0,9.2,97.2,0.0,1024.4,258,3.4,134,0.15
2018-12-31T22:00:00Z,2018-12-31T21:00:00Z,PT60M,5.8,55,48.6,5.3,0,0,0,0,0,0,9.3,96.4,0.0,1024.2,259,3.6,142,0.15
2018-12-31T23:00:00Z,2018-12-31T22:00:00Z,PT60M,6.4,34,73.1,5.7,0,0,0,0,0,0,9.4,94.9,0.0,1023.9,259,3.8,149,0.15
2019-01-01T00:00:00Z,2018-12-31T23:00:00Z,PT60M,7.0,7,78.9,6.0,0,0,0,0,0,0,9.6,93.4,0.0,1023.5,260,4.0,152,0.15
2019-01-01T01:00:00Z,2019-01-01T00:00:00Z,PT60M,7.1,-22,78.7,6.1,0,0,0,0,0,0,9.6,93.3,0.0,1023.2,259,4.1,151,0.17
2019-01-01T02:00:00Z,2019-01-01T01:00:00Z,PT60M,6.8,-46,79.0,6.0,0,0,0,0,0,0,9.6,94.5,0.0,1022.9,258,4.3,145,0.17
2019-01-01T03:00:00Z,2019-01-01T02:00:00Z,PT60M,6.5,-64,79.0,5.8,0,0,0,0,0,0,9.6,95.7,0.0,1022.5,257,4.5,138,0.17
2019-01-01T04:00:00Z,2019-01-01T03:00:00Z,PT60M,6.3,-79,79.0,5.7,0,0,0,0,0,0,9.9,96.3,0.0,1022.2,259,4.6,129,0.17
2019-01-01T05:00:00Z,2019-01-01T04:00:00Z,PT60M,6.2,-91,79.0,5.6,0,0,0,0,0,0,10.4,96.1,0.0,1021.7,265,4.8,119,0.17
